year,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
team,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
win_pct,46.34,30.49,53.66,52.44,58.54,40.24,59.76,43.90,35.37,62.20,65.85,68.29,69.51,32.93,60.98,65.85,18.29,48.78,41.46,45.12,71.95,28.05,23.17,58.54,65.85,34.15,75.61,58.54,30.49,53.66,73.17,48.78,46.34,40.24,60.98,64.63,60.98,36.59,39.02,81.71,68.29,46.34,68.29,25.61,67.07,45.12,50.00,19.51,54.88,20.73,54.88,30.49,21.95,47.56,62.20,35.37,67.07,59.76,46.34,56.10,58.54,58.54,25.61,58.54,51.22,69.51,51.22,40.24,53.66,89.02,50.00,54.88,64.63,20.73,51.22,58.54,40.24,35.37,36.59,39.02,67.07,42.68,12.20,28.05,53.66,40.24,81.71,68.29,48.78,50.00,52.44,64.63,24.39,43.90,50.00,62.20,40.24,48.78,45.12,81.71,67.07,51.22,62.20,31.71,52.44,50.00,51.22,37.80,41.46,37.80,57.32,35.37,34.15,29.27,50.00,39.02,74.39,62.20,62.20,59.76,29.27,67.07,34.15,43.90,32.93,60.98,29.27,56.10,47.56,70.73,79.27,58.54,51.22,42.68,26.83,53.66,53.66,57.32,58.54,35.37,58.54,30.49,63.41,25.61,59.76,32.93,57.32,71.95,58.54,52.44,35.37,59.76,51.22,47.56,26.83,23.17,40.24,65.85,50.00,69.51,64.63,58.54,58.54,45.12,40.24,47.56,73.17,43.90,40.24,20.73,59.76,51.22,62.20,23.17,64.63,47.56,58.54,70.73,60.98,39.02
team_pct_pts_2pt,53.75,57.45,63.02,57.00,57.31,60.29,62.29,56.39,64.45,59.29,52.85,66.11,56.25,56.03,70.69,53.08,63.82,64.69,67.58,53.33,58.54,63.16,59.50,59.21,55.18,62.17,61.92,55.73,62.40,62.78,51.38,59.62,59.01,64.87,54.87,58.40,60.00,58.14,52.12,64.13,53.56,61.94,57.97,61.99,64.88,62.03,66.68,64.89,63.12,65.44,58.14,58.06,50.80,60.65,54.79,62.18,59.97,57.48,53.21,65.85,52.28,62.09,57.62,55.16,59.99,51.14,56.45,59.25,53.84,56.02,52.08,63.10,54.70,59.69,59.83,58.27,65.95,62.94,60.60,56.00,57.32,61.16,53.39,56.64,57.26,62.54,62.36,57.22,55.65,58.35,56.64,50.26,51.15,54.63,58.64,43.73,54.80,56.76,64.20,56.95,49.93,60.92,54.17,62.32,49.09,52.47,55.39,56.02,53.27,61.99,60.09,56.27,54.34,62.04,56.46,53.12,58.96,58.43,54.82,56.43,55.59,45.44,54.23,53.08,59.60,50.67,50.23,53.76,49.43,60.94,39.17,62.48,56.62,50.70,57.70,56.07,60.70,58.87,53.46,61.20,51.43,57.82,52.97,57.43,55.23,60.48,56.54,52.84,51.39,57.77,48.77,48.94,51.93,53.61,61.42,61.20,47.53,54.34,48.32,56.23,36.23,55.97,48.35,51.85,54.15,55.83,47.59,52.73,56.26,58.02,54.68,49.70,55.16,56.00,57.34,53.96,53.84,49.27,47.90,55.29
team_pct_pts_mr,15.95,16.26,21.92,18.33,20.88,18.97,14.28,14.53,13.49,14.51,5.25,22.26,20.15,15.17,18.17,12.21,16.31,17.21,16.61,18.71,17.03,21.91,10.03,16.04,18.50,17.22,15.98,15.56,17.38,18.95,11.94,13.84,18.63,22.55,15.26,12.71,15.06,13.58,14.69,15.17,5.64,20.96,16.61,20.69,17.38,16.17,18.19,27.11,18.42,25.35,14.23,15.40,10.08,17.11,19.52,17.27,14.41,12.54,13.29,24.66,13.32,15.98,13.19,15.44,18.99,12.58,15.04,14.09,13.34,12.84,5.38,18.72,17.94,17.87,15.91,16.54,16.39,21.86,17.39,21.62,13.70,22.01,10.93,12.83,14.94,12.63,21.29,12.28,12.74,18.12,16.51,8.23,10.30,15.16,15.85,12.74,14.94,10.00,20.96,14.86,4.55,17.76,16.33,12.59,11.57,12.12,11.25,17.13,12.81,16.74,10.84,16.14,9.51,17.13,14.22,14.78,16.62,13.18,11.87,17.02,10.49,6.85,12.70,13.24,13.11,11.41,13.64,7.43,12.58,15.78,6.66,17.17,9.89,8.60,13.29,10.40,11.74,15.98,11.15,17.68,8.60,10.56,12.08,10.58,11.95,15.73,15.77,6.45,8.73,14.77,4.87,4.59,11.98,9.31,10.04,9.10,7.89,7.65,8.07,13.21,4.46,14.05,7.03,7.70,9.79,6.76,6.12,11.75,6.92,10.06,8.49,13.75,11.97,9.31,10.33,9.67,15.44,9.83,6.70,9.74
team_pct_pts_3pt,30.50,24.41,20.85,25.64,24.19,22.74,23.03,26.04,18.38,25.02,29.13,14.78,26.51,27.34,14.86,31.53,16.80,16.03,15.27,32.56,24.10,21.46,22.81,24.46,27.45,16.78,22.47,25.89,22.34,21.56,31.92,24.23,25.13,15.89,26.87,26.07,23.24,25.45,33.07,22.23,31.04,21.78,25.07,20.48,18.16,18.35,17.57,15.67,21.78,19.27,25.91,28.40,31.49,23.93,31.06,17.89,23.49,24.40,29.41,18.02,33.58,21.84,25.71,27.42,26.01,34.66,24.88,23.27,30.61,31.58,32.04,20.72,28.79,21.41,22.74,24.02,19.21,17.79,23.19,27.01,27.61,24.62,31.47,26.24,26.64,21.43,22.09,24.82,29.36,26.01,26.16,32.06,33.70,27.21,27.06,42.76,29.05,25.98,21.94,28.50,34.15,24.38,29.08,22.76,32.60,34.95,29.51,27.53,30.44,23.53,25.21,26.92,29.71,20.16,28.12,32.47,25.35,25.85,30.67,28.03,28.59,38.93,30.55,29.31,25.90,34.68,37.26,29.84,36.65,24.57,46.63,23.17,28.78,33.64,25.46,29.00,23.44,24.47,34.08,23.81,35.15,26.39,32.46,26.39,30.77,27.33,28.79,33.66,31.80,25.96,37.37,33.73,34.29,30.82,23.81,23.39,35.36,31.74,35.59,31.66,50.63,29.69,35.15,34.46,30.54,29.57,39.38,30.16,31.25,25.04,31.51,35.73,27.90,28.30,27.20,30.28,33.30,35.64,36.55,28.78
team_pct_pts_fstbrk,12.42,10.65,12.51,11.15,10.76,11.50,11.16,13.75,18.61,12.32,15.56,9.40,16.83,15.31,12.53,10.74,13.69,15.09,12.29,9.31,12.10,12.30,18.70,17.40,10.59,12.41,13.23,8.76,12.36,14.00,13.37,10.86,12.55,9.40,10.73,9.42,16.01,14.45,13.12,17.36,16.48,9.65,12.58,11.42,12.36,11.55,13.53,11.81,10.21,9.13,15.21,12.81,16.91,15.21,9.26,14.90,9.92,10.73,13.42,14.64,16.34,13.83,14.12,9.62,10.03,9.86,11.08,13.43,10.86,19.42,16.89,12.08,14.07,12.22,13.36,12.10,13.12,12.91,13.21,9.91,14.21,12.49,13.11,15.51,10.09,16.85,10.19,9.18,10.31,16.99,13.21,14.04,11.62,9.39,12.71,10.01,9.21,12.97,11.68,17.45,14.49,9.80,12.89,15.17,10.51,10.43,11.41,13.74,14.10,10.16,13.65,15.09,13.19,15.99,9.26,12.54,11.57,12.75,7.30,14.44,10.19,10.18,7.75,9.51,10.34,10.93,9.26,11.56,11.08,16.21,11.01,13.58,13.47,17.06,13.46,8.51,11.26,9.63,14.18,8.41,14.19,12.61,9.61,12.65,7.45,10.32,11.24,13.07,10.76,10.36,13.38,10.43,13.74,10.64,12.42,10.86,13.11,12.37,10.57,16.68,12.58,13.33,14.00,16.10,13.01,9.38,14.49,12.31,13.89,11.14,13.57,11.99,13.88,14.38,9.03,15.51,9.65,15.79,10.10,12.36
team_pct_pts_ft,15.75,18.15,16.12,17.40,18.50,16.96,14.67,17.59,17.18,15.69,18.01,19.11,17.28,16.64,14.44,15.41,19.38,19.29,17.16,14.11,17.36,15.40,17.70,16.33,17.38,21.06,15.60,18.36,15.24,15.66,16.70,16.11,15.86,19.25,18.28,15.51,16.78,16.38,14.80,13.66,15.38,16.29,16.98,17.52,16.97,19.61,15.76,19.42,15.10,15.29,15.95,13.51,17.71,15.41,14.17,19.92,16.55,18.13,17.40,16.15,14.13,16.06,16.66,17.42,13.98,14.21,18.66,17.48,15.54,12.39,15.87,16.21,16.51,18.93,17.41,17.73,14.84,19.29,16.21,17.00,15.09,14.22,15.13,17.12,16.11,16.01,15.55,17.96,14.97,15.64,17.22,17.66,15.14,18.14,14.29,13.49,16.14,17.25,13.87,14.54,15.90,14.70,16.78,14.91,18.29,12.58,15.11,16.44,16.30,14.49,14.73,16.85,15.95,17.81,15.41,14.39,15.67,15.74,14.50,15.52,15.82,15.61,15.21,17.61,14.50,14.64,12.51,16.40,13.92,14.50,14.22,14.37,14.59,15.70,16.89,14.94,15.86,16.69,12.46,14.99,13.45,15.79,14.55,16.19,14.00,12.17,14.67,13.52,16.81,16.25,13.86,17.30,13.80,15.56,14.79,15.44,17.11,13.90,16.11,12.11,13.12,14.34,16.49,13.71,15.31,14.59,13.03,17.10,12.48,16.91,13.81,14.59,16.97,15.70,15.43,15.77,12.86,15.06,15.54,15.94
team_pct_pts_off_tos,17.07,19.49,17.57,14.65,16.41,15.91,15.99,15.43,18.59,15.47,15.13,15.80,18.25,15.95,17.45,18.70,17.43,17.18,17.65,18.08,16.56,15.80,19.53,17.53,13.39,14.67,16.02,16.84,15.09,16.54,18.04,15.18,16.51,13.45,13.79,15.46,18.45,16.80,16.88,18.27,18.34,14.93,15.42,15.05,17.53,16.40,18.77,17.27,13.50,15.65,14.80,17.51,19.72,16.04,13.38,15.14,15.51,16.03,16.01,14.42,18.60,15.80,17.91,15.36,12.82,15.10,15.81,14.82,15.47,15.96,17.88,18.26,16.19,13.85,18.44,15.18,18.52,16.03,15.55,12.82,14.79,16.81,17.33,17.32,13.88,16.69,15.05,16.16,16.40,16.69,17.51,14.81,15.66,14.94,15.66,13.40,17.02,12.79,14.19,16.18,16.59,15.73,13.81,17.48,16.06,15.48,16.27,16.60,13.50,13.46,14.72,16.19,17.21,16.33,13.40,16.10,16.88,16.81,14.06,16.71,17.09,13.86,14.25,15.33,14.52,14.14,14.20,15.30,16.88,15.25,15.75,17.19,15.66,15.64,17.03,15.41,17.01,16.49,13.85,14.18,17.81,15.62,15.09,13.20,13.45,14.94,15.98,16.47,17.13,15.67,15.17,13.86,15.86,15.68,15.11,13.95,13.84,14.55,15.59,14.22,16.82,17.08,14.69,15.42,15.50,15.07,14.42,16.15,13.62,14.75,16.23,15.38,14.21,17.33,13.24,15.37,12.56,15.41,14.71,15.15
team_pct_pts_inthept,37.81,41.16,41.11,38.66,36.41,41.35,48.01,41.86,50.96,44.77,47.62,43.88,36.08,40.85,52.53,40.87,47.51,47.48,50.94,34.62,41.49,41.24,49.46,43.16,36.68,44.94,45.94,40.19,45.01,43.85,39.45,45.79,40.41,42.29,39.61,45.70,44.93,44.56,37.47,48.96,47.93,40.98,41.36,41.30,47.51,45.88,48.49,37.77,44.70,40.08,43.93,42.69,40.71,43.55,35.26,44.88,45.56,44.94,39.91,41.20,38.97,46.11,44.46,39.73,41.00,38.56,41.40,45.16,40.50,43.20,46.71,44.37,36.75,41.80,43.90,41.75,49.56,41.06,43.21,34.35,43.64,39.19,42.43,43.79,42.32,49.91,41.08,44.93,42.93,40.21,40.13,42.05,40.85,39.48,42.79,30.98,39.87,46.78,43.21,42.09,45.39,43.16,37.83,49.74,37.51,40.34,44.15,38.90,40.44,45.27,49.25,40.13,44.83,44.90,42.27,38.34,42.33,45.22,42.95,39.42,45.07,38.60,41.53,39.81,46.49,39.26,36.62,46.36,36.85,45.14,32.52,45.28,46.72,42.09,44.42,45.66,48.99,42.88,42.33,43.54,42.79,47.24,40.93,46.86,43.26,44.75,40.75,46.40,42.64,43.00,43.89,44.38,39.93,44.32,51.37,52.10,39.64,46.69,40.25,43.00,31.79,41.92,41.35,44.16,44.39,49.07,41.48,41.01,49.33,47.96,46.20,35.94,43.18,46.67,47.02,44.29,38.39,39.45,41.23,45.55
team_pct_2ptgfm_asstd,63.30,51.60,48.97,55.59,58.11,55.12,55.33,47.26,47.21,50.09,49.20,52.10,61.29,53.72,54.31,50.19,54.58,53.90,47.59,45.07,54.71,50.18,52.63,37.69,50.29,48.24,56.96,50.64,48.04,51.33,63.24,47.97,55.65,54.17,52.05,53.54,44.91,48.03,55.94,61.28,52.26,50.53,58.96,50.70,49.53,50.53,60.04,58.24,51.28,58.10,52.59,45.69,54.76,45.70,46.98,50.29,56.56,49.15,40.96,61.06,60.78,46.62,55.78,51.65,50.34,54.63,48.78,49.73,44.98,64.33,54.53,48.04,56.34,45.37,52.07,43.85,58.98,57.63,55.00,48.64,54.19,50.82,48.11,44.70,53.80,59.72,55.09,43.80,40.80,56.30,56.77,42.94,57.33,56.79,50.96,51.96,53.41,50.95,44.62,67.09,52.58,49.21,47.81,52.28,48.32,45.69,56.09,53.60,44.11,51.50,55.45,46.58,50.45,41.14,49.84,51.43,54.01,45.96,40.36,52.03,51.30,55.33,53.04,49.45,51.99,49.51,52.67,53.37,47.25,64.45,43.90,47.20,53.93,47.66,50.31,46.65,57.83,47.27,51.23,45.93,49.74,50.77,62.72,49.59,45.75,47.38,52.25,50.28,54.23,57.00,55.19,56.44,53.40,51.77,47.49,48.83,51.12,59.94,53.66,62.75,49.13,52.88,53.61,55.66,55.24,48.85,57.17,52.55,56.45,42.61,55.31,50.36,53.10,50.43,52.33,46.00,55.30,48.16,63.00,50.59
team_pct_3ptgfm_asstd,79.34,74.61,74.29,72.01,55.23,62.35,59.51,66.44,60.63,60.64,81.62,82.18,75.37,67.69,71.65,89.63,57.60,64.04,66.44,63.71,65.07,64.73,70.51,62.02,60.66,54.22,65.51,67.86,59.97,80.26,90.74,80.33,82.03,56.59,69.49,66.99,67.72,54.56,66.36,60.61,83.41,63.47,64.69,47.64,76.69,78.68,66.21,89.38,68.79,70.86,77.15,88.40,78.16,71.78,62.64,68.68,86.21,78.45,81.43,64.89,89.96,70.38,90.70,79.68,78.99,78.49,67.90,83.91,63.47,81.16,66.66,62.05,73.52,61.14,89.71,80.85,64.45,90.80,67.99,78.20,74.94,82.79,86.52,77.11,69.93,69.60,75.45,71.23,70.47,71.16,79.70,81.75,89.56,74.56,68.90,75.15,78.84,68.61,64.76,82.80,64.95,67.68,70.40,71.41,87.07,81.64,77.20,89.00,84.01,82.32,78.56,76.74,79.89,70.25,77.24,71.53,75.21,92.57,76.09,75.39,76.05,87.60,79.13,74.59,76.41,75.36,85.23,76.79,76.06,68.80,70.12,87.26,64.60,86.41,76.38,79.56,90.24,84.81,86.21,76.76,79.80,75.27,85.98,77.72,65.99,76.95,92.43,86.70,75.72,72.07,85.62,74.93,87.66,84.90,86.34,63.61,81.92,90.77,75.95,78.84,63.28,87.81,81.15,74.97,88.21,85.11,84.36,86.47,90.75,64.71,67.31,85.85,78.11,67.76,86.30,81.14,80.24,86.89,77.48,90.00